algorithm,heuristic,solution found,depth,initial_state,final_state,action_sequence,path_cost,time (ms), nodes, memory (Kb)
greedy_best_first,n_conflicts,True,6,"(1, 6, 6, 1, 2, 5, 3, 5)","(1, 4, 6, 0, 2, 7, 5, 3)","[col[3]->row[0], col[1]->row[4], col[7]->row[0], col[6]->row[5], col[5]->row[7], col[7]->row[3]]",6,10.418176651000977,449,279.040
greedy_best_first,n_conflicts,True,6,"(3, 1, 5, 0, 5, 0, 7, 7)","(4, 6, 1, 5, 2, 0, 7, 3)","[col[0]->row[4], col[4]->row[2], col[7]->row[3], col[3]->row[5], col[2]->row[1], col[1]->row[6]]",6,10.454177856445312,561,258.385
greedy_best_first,n_conflicts,True,8,"(0, 5, 6, 5, 6, 2, 3, 3)","(4, 1, 3, 5, 7, 2, 0, 6)","[col[2]->row[1], col[4]->row[7], col[6]->row[4], col[7]->row[6], col[2]->row[3], col[1]->row[1], col[0]->row[4], col[6]->row[0]]",8,12.412071228027344,673,304.124
greedy_best_first,n_conflicts,True,9,"(6, 3, 1, 7, 6, 7, 3, 1)","(6, 1, 5, 2, 0, 3, 7, 4)","[col[1]->row[4], col[4]->row[0], col[2]->row[5], col[1]->row[2], col[3]->row[2], col[1]->row[1], col[7]->row[4], col[6]->row[7], col[5]->row[3]]",9,27.329444885253906,1457,713.196
greedy_best_first,n_conflicts,True,11,"(6, 7, 0, 7, 0, 1, 2, 0)","(3, 5, 0, 4, 1, 7, 2, 6)","[col[4]->row[5], col[1]->row[3], col[5]->row[4], col[4]->row[1], col[7]->row[7], col[3]->row[4], col[5]->row[5], col[7]->row[6], col[0]->row[3], col[1]->row[5], col[5]->row[7]]",11,32.341957092285156,1793,809.201
greedy_best_first,n_conflicts,True,5,"(6, 2, 1, 6, 3, 1, 7, 6)","(5, 2, 0, 7, 3, 1, 6, 4)","[col[7]->row[4], col[2]->row[0], col[0]->row[5], col[6]->row[6], col[3]->row[7]]",5,7.319450378417969,393,187.624
greedy_best_first,n_conflicts,True,6,"(7, 6, 0, 5, 6, 0, 6, 7)","(4, 2, 0, 5, 7, 1, 3, 6)","[col[1]->row[2], col[6]->row[3], col[0]->row[4], col[5]->row[1], col[4]->row[7], col[7]->row[6]]",6,8.275985717773438,449,200.648
greedy_best_first,n_conflicts,True,4,"(3, 2, 7, 7, 0, 5, 5, 6)","(5, 2, 4, 7, 0, 3, 1, 6)","[col[6]->row[1], col[2]->row[4], col[0]->row[5], col[5]->row[3]]",4,5.223512649536133,281,124.564
greedy_best_first,n_conflicts,True,8,"(2, 1, 2, 6, 5, 1, 7, 7)","(5, 3, 6, 0, 7, 1, 4, 2)","[col[1]->row[0], col[6]->row[4], col[2]->row[6], col[3]->row[0], col[1]->row[3], col[0]->row[5], col[4]->row[7], col[7]->row[2]]",8,17.229557037353516,953,411.852
greedy_best_first,n_conflicts,True,7,"(0, 0, 0, 0, 6, 1, 4, 5)","(4, 7, 3, 0, 6, 1, 5, 2)","[col[2]->row[3], col[0]->row[7], col[7]->row[2], col[1]->row[1], col[6]->row[5], col[0]->row[4], col[1]->row[7]]",7,9.181022644042969,505,222.920
greedy_best_first,n_conflicts,True,7,"(6, 2, 1, 1, 7, 1, 0, 0)","(5, 2, 6, 1, 7, 4, 0, 3)","[col[5]->row[5], col[6]->row[3], col[2]->row[6], col[0]->row[5], col[5]->row[4], col[6]->row[0], col[7]->row[3]]",7,18.13483238220215,1009,433.824
greedy_best_first,n_conflicts,True,5,"(7, 1, 3, 6, 6, 6, 6, 2)","(4, 7, 3, 0, 6, 1, 5, 2)","[col[3]->row[0], col[5]->row[1], col[6]->row[5], col[0]->row[4], col[1]->row[7]]",5,5.140542984008789,281,125.020
greedy_best_first,n_conflicts,True,7,"(3, 4, 5, 5, 5, 3, 0, 1)","(2, 4, 1, 7, 5, 3, 6, 0)","[col[2]->row[2], col[3]->row[7], col[7]->row[6], col[0]->row[2], col[2]->row[1], col[7]->row[0], col[6]->row[6]]",7,16.07203483581543,897,390.160
greedy_best_first,n_conflicts,True,7,"(6, 2, 2, 6, 3, 0, 4, 7)","(2, 5, 7, 1, 3, 0, 6, 4)","[col[3]->row[5], col[2]->row[7], col[7]->row[4], col[6]->row[6], col[3]->row[1], col[0]->row[2], col[1]->row[5]]",7,20.99919319152832,1177,497.648
greedy_best_first,n_conflicts,True,6,"(3, 5, 6, 5, 6, 0, 1, 3)","(3, 5, 7, 1, 6, 0, 2, 4)","[col[2]->row[2], col[7]->row[4], col[6]->row[7], col[3]->row[1], col[2]->row[7], col[6]->row[2]]",6,6.277322769165039,337,147.448
greedy_best_first,n_conflicts,True,5,"(0, 2, 7, 2, 1, 2, 4, 1)","(3, 5, 7, 2, 0, 6, 4, 1)","[col[1]->row[3], col[5]->row[6], col[4]->row[0], col[1]->row[5], col[0]->row[3]]",5,9.21940803527832,505,221.096
