algorithm,heuristic,solution found,depth,initial_state,final_state,action_sequence,path_cost,time (ms), nodes, memory (Kb)
greedy_best_first,wrong_tiles,True,47,"(2, 5, 3, 6, 4, 0, 8, 1, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, L, L, U, U, R, R, D, D, L, U, U, L, D, R, U, R, D, L, U, L, D, R, U, R, D, L, L, U, R, D, R, U, L, D, D, R, U, U, L, D, R, D, L, U, U, L]",47,21.69942855834961,1514,454.226
greedy_best_first,wrong_tiles,True,45,"(7, 0, 1, 2, 3, 4, 8, 5, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, D, D, L, L, U, R, R, D, L, U, L, U, R, D, L, D, R, U, U, R, D, L, U, L, D, R, R, U, L, D, L, U, R, R, D, L, L, U, R, D, R, U, L, L]",45,20.04408836364746,1723,372.627
greedy_best_first,wrong_tiles,True,23,"(6, 0, 2, 7, 3, 1, 4, 8, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, D, R, R, D, L, L, U, R, U, L, D, D, R, U, U, L, D, D, R, U, L, U]",23,2.8107166290283203,255,50.304
greedy_best_first,wrong_tiles,True,57,"(3, 5, 1, 0, 6, 8, 2, 4, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, R, D, D, R, U, U, L, L, D, R, U, R, D, L, L, D, R, U, L, U, R, R, D, L, D, L, U, U, R, R, D, L, L, D, R, U, U, L, D, R, D, L, U, R, R, D, L, L, U, R, D, R, U, L, L, U]",57,46.29111289978027,3707,902.950
greedy_best_first,wrong_tiles,True,31,"(6, 0, 7, 1, 2, 3, 4, 5, 8)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, R, U, L, L, D, R, U, L, D, R, D, L, U, U, R, R, D, L, D, R, U, U, L, D, R, D, L, U, U, L]",31,6.582498550415039,579,110.720
greedy_best_first,wrong_tiles,True,39,"(2, 5, 8, 1, 3, 6, 4, 0, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, U, U, L, L, D, R, R, U, L, L, D, D, R, R, U, L, L, D, R, R, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, L, U]",39,22.89414405822754,1960,391.924
greedy_best_first,wrong_tiles,True,58,"(0, 4, 5, 3, 8, 7, 2, 1, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, D, D, R, U, U, L, D, L, D, R, R, U, U, L, L, D, R, R, D, L, U, U, R, D, D, L, U, R, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, D, D, R, U, U, L, D, R, D, L, U, U, L]",58,21.257877349853516,1865,376.164
greedy_best_first,wrong_tiles,True,50,"(8, 1, 6, 5, 2, 4, 0, 7, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, R, D, R, U, L, L, D, D, R, R, U, L, L, D, R, R, U, L, L, U, R, D, L, D, R, U, R, D, L, U, U, L, D, D, R, U, R, D, L, L, U, R, D, R, U, L, L, U]",50,49.756526947021484,4199,884.780
greedy_best_first,wrong_tiles,True,56,"(8, 7, 6, 3, 0, 4, 1, 2, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, U, L, D, R, D, L, U, U, L, D, D, R, U, L, U, R, R, D, L, U, R, D, D, L, U, U, L, D, R, U, R, D, L, D, R, U, L, L, U, R, R, D, L, D, R, U, U, L, D, R, D, L, U, U, L]",56,44.53682899475098,3784,764.308
greedy_best_first,wrong_tiles,True,46,"(3, 5, 8, 2, 1, 4, 7, 6, 0)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, L, U, R, U, L, D, R, R, U, L, L, D, D, R, R, U, U, L, L, D, D, R, U, R, U, L, L, D, R, R, U, L, D, D, L, U, U, R, D, L, D, R, U, U, L]",46,19.96898651123047,1726,350.636
greedy_best_first,wrong_tiles,True,55,"(6, 0, 3, 2, 8, 7, 4, 1, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, D, D, L, L, U, U, R, D, D, L, U, U, R, R, D, D, L, U, U, R, D, D, L, U, U, L, D, R, U, R, D, L, D, R, U, L, L, U, R, R, D, L, D, R, U, U, L, D, R, D, L, U, U, L]",55,48.07138442993164,4087,847.732
greedy_best_first,wrong_tiles,True,24,"(2, 8, 0, 7, 3, 1, 6, 5, 4)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, L, D, R, R, U, L, D, D, R, U, L, D, L, U, U, R, D, L, D, R, U, U, L]",24,6.099462509155273,524,103.424
greedy_best_first,wrong_tiles,True,41,"(1, 0, 4, 6, 8, 7, 2, 3, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, D, D, R, U, R, D, L, U, L, U, R, D, R, U, L, D, L, D, R, U, U, L, D, R, D, L, U, R, R, D, L, L, U, R, D, R, U, L, L, U]",41,32.331228256225586,2734,571.564
greedy_best_first,wrong_tiles,True,47,"(2, 6, 3, 4, 1, 0, 5, 8, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, L, U, R, R, D, D, L, L, U, U, R, R, D, D, L, L, U, R, R, D, L, U, L, U, R, R, D, D, L, U, R, U, L, D, D, R, U, U, L, D, R, D, L, U, U, L]",47,17.067432403564453,1472,308.908
greedy_best_first,wrong_tiles,True,28,"(4, 5, 0, 3, 8, 7, 2, 1, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, L, D, R, U, U, L, D, R, U, L, L, D, D, R, U, U, R, D, L, L, U, R, D, R, U, L, L]",28,17.062664031982422,1451,281.604
greedy_best_first,wrong_tiles,True,40,"(7, 1, 4, 2, 0, 8, 6, 5, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, R, U, L, D, L, U, U, R, D, L, D, R, U, U, R, D, L, U, L, D, R, R, U, L, D, L, U, R, R, D, L, L, U, R, D, R, U, L, L]",40,36.90981864929199,2891,735.644
greedy_best_first,wrong_tiles,True,65,"(2, 7, 8, 3, 6, 5, 4, 0, 1)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, L, D, D, R, U, L, U, R, R, D, D, L, U, R, U, L, D, D, R, U, U, L, D, R, D, L, U, U, R, D, D, L, U, R, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, D, D, R, U, U, L, D, R, D, L, U, U, L]",65,37.84632682800293,3264,702.580
greedy_best_first,wrong_tiles,True,33,"(3, 2, 5, 7, 1, 0, 8, 4, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, L, D, D, L, U, R, D, R, U, L, L, D, R, R, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, L, U]",33,30.365705490112305,2619,547.668
greedy_best_first,wrong_tiles,True,53,"(5, 3, 8, 6, 2, 4, 1, 0, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, U, L, U, L, D, R, U, R, D, L, U, L, D, D, R, U, L, U, R, D, R, D, L, L, U, U, R, D, L, D, R, U, U, L, D, R, D, L, U, R, R, D, L, L, U, R, D, R, U, L, L, U]",53,24.382591247558594,2093,417.212
greedy_best_first,wrong_tiles,True,41,"(1, 6, 8, 3, 7, 4, 2, 0, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, R, D, D, L, U, U, L, D, D, R, U, R, D, L, U, L, U, R, D, R, U, L, L, D, D, R, U, R, D, L, L, U, R, D, R, U, L, L, U]",41,33.49566459655762,2909,604.548
greedy_best_first,wrong_tiles,True,44,"(1, 8, 0, 6, 4, 5, 3, 7, 2)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, D, L, D, R, U, U, L, D, D, R, U, L, U, R, R, D, D, L, U, U, R, D, L, D, R, U, L, U, R, D, L, D, R, U, U, L, D, R, D, L, U, U, L]",44,21.570205688476562,1866,372.212
greedy_best_first,wrong_tiles,True,34,"(6, 3, 5, 2, 7, 1, 0, 8, 4)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, U, L, U, R, D, R, U, L, D, D, L, U, R, R, D, L, U, L, D, R, U, R, D, L, L, U, R, D, R, U, L, L, U]",34,12.763261795043945,1103,213.748
greedy_best_first,wrong_tiles,True,63,"(4, 0, 3, 8, 7, 2, 5, 1, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, D, D, L, U, U, L, D, R, R, D, L, U, U, L, D, D, R, R, U, U, L, D, L, U, R, D, R, U, L, D, D, R, U, U, L, L, D, R, D, L, U, U, R, D, D, L, U, U, R, D, L, D, R, U, U, L, D, R, D, L, U, U]",63,46.25105857849121,3936,857.044
greedy_best_first,wrong_tiles,True,41,"(1, 0, 6, 7, 5, 3, 2, 4, 8)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, D, L, D, L, U, R, U, L, D, R, D, L, U, U, R, R, D, L, U, L, D, R, R, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, L]",41,11.096477508544922,973,194.612
greedy_best_first,wrong_tiles,True,56,"(6, 2, 7, 3, 0, 4, 5, 8, 1)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, D, L, U, R, U, L, D, L, U, R, D, D, L, U, R, U, L, D, R, R, D, L, U, R, U, L, D, R, D, L, U, U, R, D, L, D, R, U, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, L]",56,12.298822402954102,1075,213.140
greedy_best_first,wrong_tiles,True,49,"(6, 0, 8, 3, 7, 5, 4, 1, 2)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, D, D, L, U, U, R, D, L, D, R, U, L, D, L, U, U, R, D, D, L, U, R, R, D, L, U, L, D, R, R, U, L, D, L, U, R, R, U, L, L, D, R, U, R, D, L, L, U]",49,14.33253288269043,1248,265.940
greedy_best_first,wrong_tiles,True,46,"(2, 6, 0, 5, 7, 1, 8, 4, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, D, D, L, U, U, R, R, D, D, L, L, U, U, R, R, D, L, L, D, R, U, U, R, D, L, L, U, R, R, D, L, U, R, D, D, L, L, U, R, D, R, U, L, L, U]",46,10.577678680419922,917,185.644
greedy_best_first,wrong_tiles,True,49,"(8, 2, 6, 7, 5, 0, 1, 4, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, L, D, R, U, R, U, L, D, L, U, R, D, R, D, L, L, U, R, D, L, U, R, D, R, U, L, L, D, R, R, U, L, D, L, U, R, R, U, L, L, D, R, U, R, D, L, L, U]",49,11.698484420776367,1017,201.300
greedy_best_first,wrong_tiles,True,47,"(4, 8, 5, 3, 2, 0, 7, 6, 1)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, U, R, D, L, D, L, U, U, R, D, L, D, R, R, U, L, D, L, U, R, U, L, D, D, R, U, U, L, D, R, D, L, U, R, R, D, L, L, U, R, D, R, U, L, L, U]",47,27.704715728759766,2362,529.764
greedy_best_first,wrong_tiles,True,48,"(5, 2, 1, 4, 6, 3, 8, 7, 0)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, L, U, R, D, L, L, U, R, R, D, L, U, L, D, R, R, D, L, L, U, R, D, R, U, L, L, D, R, R, U, L, D, L, U, R, R, U, L, L, D, R, U, R, D, L, L, U]",48,10.765790939331055,931,187.468
greedy_best_first,wrong_tiles,True,42,"(3, 1, 6, 2, 4, 5, 0, 8, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, U, L, D, R, R, U, L, L, U, R, R, D, L, D, R, U, L, U, L, D, R, D, L, U, U, R, R, D, L, D, R, U, U, L, D, R, D, L, U, U, L]",42,48.026323318481445,4016,890.324
greedy_best_first,wrong_tiles,True,54,"(8, 3, 6, 1, 2, 5, 0, 4, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, R, D, D, R, U, U, L, D, R, D, L, U, L, D, R, U, L, U, R, D, D, L, U, R, D, R, U, L, L, D, R, U, R, D, L, L, U, U, R, D, L, D, R, U, U, L, D, R, D, L, U, U]",54,17.07911491394043,1480,298.372
greedy_best_first,wrong_tiles,True,56,"(4, 2, 6, 8, 5, 7, 3, 1, 0)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, L, L, D, R, R, U, U, L, D, R, D, L, U, U, L, D, D, R, U, L, U, R, D, D, L, U, R, D, R, U, L, L, D, R, U, R, D, L, L, U, U, R, D, L, D, R, U, U, L, D, R, D, L, U, U]",56,22.93252944946289,1975,384.020
greedy_best_first,wrong_tiles,True,48,"(4, 8, 6, 7, 2, 5, 0, 1, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, R, D, D, L, U, R, R, U, L, D, L, U, R, D, R, D, L, U, L, D, R, R, U, L, L, D, R, R, U, L, D, L, U, R, R, U, L, L, D, R, U, R, D, L, L, U]",48,18.716096878051758,1603,324.516
greedy_best_first,wrong_tiles,True,68,"(8, 6, 5, 7, 1, 2, 0, 3, 4)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, R, D, D, L, U, R, R, D, L, U, R, U, L, D, D, R, U, L, U, R, D, D, L, L, U, R, D, R, U, L, L, D, R, R, U, L, D, L, U, U, R, D, L, D, R, U, U, L, D, R, D, L, U, R, R, D, L, L, U, R, D, R, U, L, L, U]",68,21.120786666870117,1801,365.324
greedy_best_first,wrong_tiles,True,37,"(6, 0, 1, 8, 5, 7, 4, 2, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, D, L, D, L, U, U, R, D, D, L, U, U, R, R, D, D, L, U, R, U, L, L, D, R, D, R, U, U, L, D, R, D, L, U, U, L]",37,14.809608459472656,1069,276.900
greedy_best_first,wrong_tiles,True,55,"(7, 6, 8, 4, 1, 0, 5, 3, 2)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, L, U, R, R, D, D, L, L, U, U, R, R, D, L, D, R, U, L, L, U, R, D, D, L, U, R, U, L, D, R, D, L, U, R, R, D, L, U, L, D, R, U, R, D, L, L, U, R, D, R, U, L, L, U]",55,37.0023250579834,3031,776.708
greedy_best_first,wrong_tiles,True,51,"(7, 0, 6, 3, 5, 4, 8, 1, 2)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, D, R, U, U, L, D, R, D, L, U, R, U, L, L, D, D, R, U, U, R, D, D, L, U, L, U, R, R, D, L, D, R, U, L, U, R, D, L, D, R, U, U, L, D, R, D, L, U, U, L]",51,36.110877990722656,3047,637.228
greedy_best_first,wrong_tiles,True,39,"(8, 3, 2, 5, 7, 0, 6, 4, 1)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, L, U, L, U, R, R, D, L, U, R, D, L, L, U, R, R, D, L, D, R, U, L, U, R, D, L, D, R, U, U, L, D, R, D, L, U, U, L]",39,18.117904663085938,1511,305.412
greedy_best_first,wrong_tiles,True,49,"(6, 0, 8, 4, 2, 5, 3, 1, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, L, D, R, R, U, U, L, L, D, D, R, R, U, L, L, U, R, D, D, L, U, U, R, D, L, D, R, U, U, L, D, R, D, L, U, R, R, D, L, L, U, R, D, R, U, L, L, U]",49,20.374298095703125,1709,350.436
greedy_best_first,wrong_tiles,True,49,"(5, 7, 6, 4, 8, 2, 1, 0, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, L, U, R, R, D, D, L, L, U, U, R, D, D, L, U, U, R, D, D, L, U, U, R, D, R, U, L, L, D, R, R, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, L]",49,21.447181701660156,1854,378.244
greedy_best_first,wrong_tiles,True,34,"(6, 3, 0, 2, 1, 5, 8, 7, 4)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, L, L, U, R, D, R, U, L, D, D, L, U, R, R, D, L, U, L, D, R, U, R, D, L, L, U, R, D, R, U, L, L, U]",34,15.038728713989258,1272,269.740
greedy_best_first,wrong_tiles,True,34,"(1, 8, 2, 7, 5, 4, 0, 6, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, R, U, L, D, L, U, R, U, L, D, D, R, U, R, D, L, U, L, D, R, U, R, D, L, L, U, R, D, R, U, L, L, U]",34,16.418933868408203,1372,291.340
greedy_best_first,wrong_tiles,True,50,"(6, 4, 7, 2, 0, 1, 3, 8, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, R, D, D, L, L, U, R, U, L, D, D, R, U, U, L, D, D, R, U, U, L, D, D, R, U, U, R, D, L, L, U, R, D, R, U, L, D, D, R, U, U, L, D, R, D, L, U, U, L]",50,59.377193450927734,4829,1123.084
greedy_best_first,wrong_tiles,True,56,"(6, 2, 7, 1, 0, 8, 3, 5, 4)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, D, R, R, U, U, L, D, L, U, R, D, D, L, U, R, U, L, D, R, D, R, U, L, D, L, U, R, D, R, U, L, L, D, R, U, R, D, L, L, U, U, R, D, L, D, R, U, U, L, D, R, D, L, U, U]",56,10.118722915649414,881,177.436
greedy_best_first,wrong_tiles,True,42,"(6, 8, 0, 4, 5, 1, 2, 7, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, L, L, U, R, R, D, D, L, L, U, R, R, U, L, L, D, R, U, R, D, L, D, R, U, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, L]",42,27.44293212890625,2331,538.604
greedy_best_first,wrong_tiles,True,61,"(7, 0, 5, 2, 4, 1, 3, 8, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, D, D, R, R, U, U, L, L, D, D, R, U, L, U, R, D, R, U, L, D, R, D, L, U, R, U, L, D, D, R, U, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, D, D, R, U, U, L, D, R, D, L, U, U, L]",61,31.13269805908203,2619,553.780
greedy_best_first,wrong_tiles,True,43,"(5, 2, 7, 8, 4, 3, 1, 0, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, U, U, L, L, D, D, R, U, R, D, L, U, R, U, L, L, D, R, U, R, D, L, D, R, U, L, U, R, D, L, D, R, U, U, L, D, R, D, L, U, U, L]",43,23.10657501220703,1973,389.692
greedy_best_first,wrong_tiles,True,57,"(4, 5, 1, 7, 6, 0, 3, 2, 8)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, U, R, D, L, L, U, R, D, L, D, R, U, U, L, D, D, R, U, U, R, D, L, L, U, R, D, R, U, L, L, D, D, R, U, L, U, R, D, D, L, U, R, U, L, D, D, R, U, U, L, D, R, D, L, U, U]",57,92.3008918762207,7389,1765.452
greedy_best_first,wrong_tiles,True,37,"(6, 4, 5, 0, 2, 3, 8, 7, 1)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, R, D, R, U, L, D, D, L, U, U, R, D, L, U, R, R, D, D, L, U, R, U, L, D, D, L, U, U, R, D, L, D, R, U, U, L]",37,10.733842849731445,935,186.148
greedy_best_first,manhattan_distance,True,79,"(2, 5, 3, 6, 4, 0, 8, 1, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, U, L, D, R, D, L, U, U, R, D, L, U, R, R, D, L, U, L, D, R, R, U, L, L, D, R, U, R, D, L, L, U, R, R, D, L, U, L, D, R, R, U, L, D, L, U, R, R, D, L, L, U, R, D, D, L, U, R, U, L, D, R, R, U, L, L, D, R, U, R, D, L, D, R, U, L, L, U]",79,13.022422790527344,856,182.212
greedy_best_first,manhattan_distance,True,137,"(7, 0, 1, 2, 3, 4, 8, 5, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, D, R, U, L, D, R, D, L, U, U, R, R, D, L, U, L, D, R, R, U, L, D, L, U, R, D, R, U, L, L, D, R, U, R, D, L, D, R, U, L, L, U, R, D, D, L, U, R, U, L, D, D, R, U, L, U, R, D, D, L, U, R, R, D, L, U, U, L, D, R, R, D, L, L, U, U, R, D, L, D, R, R, U, L, U, R, D, D, L, U, R, U, L, L, D, R, D, L, U, U, R, D, D, L, U, R, U, L, D, D, R, U, L, U, R, D, D, L, U, R, U, L, D, R, R, U, L, L, D, R, U, R, D, L, L, U]",137,28.872251510620117,1910,405.256
greedy_best_first,manhattan_distance,True,57,"(6, 0, 2, 7, 3, 1, 4, 8, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, L, U, R, R, D, D, L, U, L, D, R, U, U, R, D, L, L, U, R, R, D, L, D, L, U, R, U, L, D, D, R, U, L, U, R, D, D, L, U, R, U, L, D, R, R, U, L, L, D, R, U, R, D, L, L, U]",57,11.077165603637695,645,175.024
greedy_best_first,manhattan_distance,True,47,"(3, 5, 1, 0, 6, 8, 2, 4, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, R, U, U, L, D, D, R, U, U, L, D, R, D, R, U, L, U, R, D, L, L, U, R, D, L, U, R, R, D, L, L, U, R, D, R, U, L, L, D, R, U, R, D, L, L, U]",47,6.390571594238281,465,95.632
greedy_best_first,manhattan_distance,True,101,"(6, 0, 7, 1, 2, 3, 4, 5, 8)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, L, U, R, D, R, U, L, D, D, L, U, R, D, L, U, R, U, L, D, D, R, U, L, U, R, D, D, L, U, R, U, L, D, D, R, R, U, L, U, R, D, L, L, U, R, R, D, L, U, R, D, D, L, U, R, U, L, L, D, R, D, L, U, U, R, D, D, L, U, R, U, L, D, D, R, U, L, U, R, D, D, L, U, R, U, L, D, R, R, U, L, L, D, R, U, R, D, L, L, U]",101,25.87747573852539,1721,464.156
greedy_best_first,manhattan_distance,True,29,"(2, 5, 8, 1, 3, 6, 4, 0, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, L, D, D, R, U, R, U, L, D, L, D, R, U, U, L, D, R, D, L, U, R, D, R, U, L, L, U]",29,3.084421157836914,242,48.888
greedy_best_first,manhattan_distance,True,104,"(0, 4, 5, 3, 8, 7, 2, 1, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, D, R, U, L, U, R, D, L, D, R, R, U, U, L, L, D, R, U, L, D, D, R, U, L, U, R, D, D, L, U, R, U, L, D, D, R, U, R, D, L, L, U, U, R, D, L, D, R, R, U, L, U, R, D, D, L, U, R, U, L, L, D, R, D, L, U, U, R, D, D, L, U, R, U, L, D, D, R, U, L, U, R, D, D, L, U, R, U, L, D, R, R, U, L, L, D, R, U, R, D, L, L, U]",104,17.615079879760742,1205,278.820
greedy_best_first,manhattan_distance,True,48,"(8, 1, 6, 5, 2, 4, 0, 7, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, R, D, L, D, R, U, R, U, L, D, R, D, L, U, R, U, L, D, L, U, R, R, D, L, L, U, R, D, D, L, U, U, R, D, L, D, R, U, U, L, D, R, D, L, U, U]",48,6.03795051574707,438,91.112
greedy_best_first,manhattan_distance,True,74,"(8, 7, 6, 3, 0, 4, 1, 2, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, L, D, R, D, L, U, U, R, D, D, L, U, U, R, D, L, D, R, U, R, U, L, L, D, R, R, D, L, U, U, R, D, L, L, U, R, R, D, L, D, L, U, R, U, L, D, D, R, U, L, U, R, D, D, L, U, R, U, L, D, R, R, U, L, L, D, R, U, R, D, L, L, U]",74,10.318756103515625,729,157.572
greedy_best_first,manhattan_distance,True,68,"(3, 5, 8, 2, 1, 4, 7, 6, 0)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, L, D, L, U, R, D, R, U, L, L, D, D, R, U, L, U, R, D, R, D, L, U, U, L, D, R, D, L, U, U, R, D, D, L, U, R, U, L, D, D, R, U, L, U, R, D, D, L, U, R, U, L, D, R, R, U, L, L, D, R, U, R, D, L, L, U]",68,7.894754409790039,560,132.456
greedy_best_first,manhattan_distance,True,85,"(6, 0, 3, 2, 8, 7, 4, 1, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, D, D, R, U, U, L, D, D, R, U, L, U, R, D, D, L, U, U, R, R, D, L, U, L, D, R, R, U, L, L, D, R, R, D, L, U, L, D, R, U, U, R, D, L, L, U, R, R, D, L, D, L, U, R, U, L, D, D, R, U, L, U, R, D, D, L, U, R, U, L, D, R, R, U, L, L, D, R, U, R, D, L, L, U]",85,11.97957992553711,855,180.140
