algorithm,heuristic,solution found,depth,initial_state,final_state,action_sequence,path_cost,time (ms), nodes, memory (Kb)
a_star,n_conflicts,True,9,"(2, 9, 14, 5, 4, 11, 4, 11, 10, 11, 15, 0, 14, 4, 0, 8)","(2, 9, 14, 6, 4, 12, 1, 11, 7, 3, 15, 0, 8, 10, 5, 13)","[col[9]->row[3], col[3]->row[6], col[6]->row[1], col[8]->row[7], col[5]->row[12], col[13]->row[10], col[15]->row[13], col[12]->row[8], col[14]->row[5]]",9,4362.672567367554,77041,47846.901
a_star,n_conflicts,True,9,"(8, 12, 0, 14, 15, 14, 11, 4, 14, 8, 4, 12, 14, 5, 14, 7)","(5, 11, 0, 6, 15, 1, 10, 13, 3, 8, 4, 12, 9, 2, 14, 7)","[col[3]->row[6], col[5]->row[1], col[8]->row[3], col[7]->row[13], col[6]->row[10], col[1]->row[11], col[12]->row[9], col[13]->row[2], col[0]->row[5]]",9,246.37198448181152,4561,2625.596
a_star,n_conflicts,True,9,"(2, 3, 8, 1, 11, 0, 7, 8, 9, 3, 5, 5, 1, 11, 10, 0)","(2, 6, 8, 15, 11, 3, 14, 4, 9, 0, 13, 5, 1, 12, 10, 7)","[col[7]->row[4], col[10]->row[13], col[1]->row[6], col[13]->row[12], col[6]->row[14], col[15]->row[7], col[3]->row[15], col[9]->row[0], col[5]->row[3]]",9,1067.5396919250488,19921,12350.324
a_star,n_conflicts,True,8,"(2, 14, 6, 8, 13, 7, 3, 1, 11, 8, 1, 7, 9, 1, 10, 14)","(2, 14, 6, 3, 13, 15, 5, 0, 11, 4, 8, 12, 9, 1, 10, 7)","[col[7]->row[0], col[9]->row[4], col[11]->row[12], col[10]->row[8], col[3]->row[3], col[6]->row[5], col[15]->row[7], col[5]->row[15]]",8,36242.128133773804,702721,409874.696
a_star,n_conflicts,True,9,"(15, 8, 8, 15, 14, 14, 13, 1, 2, 3, 10, 1, 13, 12, 7, 7)","(3, 8, 6, 15, 12, 14, 11, 4, 2, 5, 10, 1, 13, 0, 9, 7)","[col[6]->row[11], col[7]->row[4], col[2]->row[0], col[9]->row[5], col[4]->row[12], col[13]->row[0], col[2]->row[6], col[14]->row[9], col[0]->row[3]]",9,1163.1178855895996,22561,13775.612
a_star,n_conflicts,True,10,"(11, 6, 12, 14, 14, 6, 10, 10, 6, 12, 0, 11, 5, 0, 4, 0)","(7, 9, 3, 8, 15, 1, 10, 13, 6, 12, 2, 11, 5, 0, 4, 14)","[col[3]->row[2], col[5]->row[1], col[7]->row[13], col[2]->row[3], col[10]->row[2], col[1]->row[9], col[3]->row[8], col[0]->row[7], col[4]->row[15], col[15]->row[14]]",10,3489.5973205566406,66961,42342.600
a_star,n_conflicts,True,10,"(9, 4, 4, 5, 8, 3, 8, 8, 7, 5, 14, 7, 14, 7, 15, 4)","(9, 12, 10, 0, 6, 3, 1, 8, 13, 5, 14, 11, 15, 7, 2, 4)","[col[6]->row[1], col[2]->row[2], col[3]->row[0], col[8]->row[13], col[4]->row[6], col[1]->row[12], col[12]->row[15], col[14]->row[2], col[2]->row[10], col[11]->row[11]]",10,37173.062562942505,705361,418435.528
a_star,n_conflicts,True,9,"(0, 14, 4, 15, 13, 5, 9, 1, 8, 3, 3, 12, 1, 15, 6, 0)","(8, 10, 4, 15, 0, 5, 9, 2, 13, 3, 7, 12, 1, 11, 6, 14)","[col[0]->row[7], col[7]->row[2], col[13]->row[11], col[1]->row[10], col[15]->row[14], col[4]->row[0], col[8]->row[13], col[10]->row[7], col[0]->row[8]]",9,8367.152214050293,157921,98651.880
a_star,n_conflicts,True,8,"(1, 13, 11, 3, 15, 7, 5, 10, 5, 1, 11, 12, 3, 5, 13, 4)","(8, 1, 11, 0, 15, 7, 4, 10, 14, 2, 6, 12, 3, 5, 13, 9)","[col[0]->row[8], col[8]->row[14], col[10]->row[6], col[15]->row[9], col[6]->row[4], col[9]->row[2], col[3]->row[0], col[1]->row[1]]",8,1666.11647605896,32401,20681.396
a_star,n_conflicts,True,7,"(7, 3, 14, 5, 14, 8, 5, 12, 14, 10, 15, 9, 12, 0, 13, 13)","(7, 3, 13, 11, 8, 1, 5, 2, 14, 10, 15, 9, 12, 0, 4, 6)","[col[7]->row[2], col[3]->row[11], col[15]->row[6], col[5]->row[1], col[4]->row[8], col[14]->row[4], col[2]->row[13]]",7,497.6370334625244,9121,6107.716
