algorithm,heuristic,solution found,depth,initial_state,final_state,action_sequence,path_cost,time (ms), nodes, memory (Kb)
greedy_best_first,wrong_tiles,True,105,"(1, 6, 10, 3, 4, 2, 0, 9, 8, 7, 5, 14, 12, 13, 15, 11)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","[R, D, D, L, U, U, L, D, R, U, U, L, L, D, R, R, U, L, D, L, U, R, R, D, D, L, U, R, U, L, D, D, R, U, L, U, R, R, D, L, D, R, U, U, L, D, R, D, L, L, U, R, U, L, D, D, R, U, L, U, R, D, D, D, L, U, U, R, D, L, D, R, U, U, U, L, L, D, R, U, R, D, L, D, R, U, L, L, U, R, R, D, L, D, R, U, U, L, D, R, D, L, U, U, L]",105,211.58552169799805,14198,4982.523
greedy_best_first,wrong_tiles,True,110,"(0, 6, 4, 2, 9, 5, 13, 3, 8, 10, 1, 7, 11, 12, 14, 15)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","[R, R, R, D, D, L, L, U, L, U, R, D, D, L, U, U, R, D, D, L, D, R, U, U, U, L, D, D, R, U, L, U, R, D, D, R, R, U, L, D, L, U, R, R, D, L, U, L, D, R, R, D, L, L, U, R, D, R, U, L, U, L, U, R, D, D, L, U, R, U, L, D, D, R, R, U, L, D, L, U, R, R, D, L, U, L, D, R, R, U, L, L, D, R, U, R, D, L, L, L, U, U, R, D, L, D, R, U, U, L]",110,95.13068199157715,7559,2233.588
greedy_best_first,wrong_tiles,True,122,"(0, 1, 5, 11, 8, 4, 7, 15, 13, 9, 3, 10, 12, 2, 14, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","[D, R, R, R, U, L, D, D, R, U, L, L, U, R, R, D, L, U, L, D, D, L, D, R, U, U, R, D, D, L, L, U, R, D, R, U, U, L, D, L, U, U, R, D, R, U, L, D, L, D, R, R, U, L, D, L, U, R, U, L, D, R, R, D, L, U, L, D, R, R, U, R, D, L, D, R, U, U, L, D, D, L, U, R, U, L, D, D, R, U, U, U, L, L, D, R, U, R, D, L, D, R, U, L, L, U, R, R, D, L, D, R, U, U, L, D, R, D, L, U, U, L]",122,3647.676706314087,222264,72114.444
greedy_best_first,wrong_tiles,True,116,"(15, 5, 1, 2, 8, 4, 3, 0, 6, 13, 7, 10, 9, 12, 14, 11)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","[L, U, R, D, L, L, U, L, D, D, D, R, U, L, U, R, R, D, R, U, L, L, L, D, R, U, L, U, R, D, D, L, U, R, U, L, D, R, R, U, L, L, D, R, U, R, D, R, D, D, L, U, U, R, D, L, D, R, U, U, U, L, D, L, U, R, R, D, L, L, D, R, U, R, D, L, L, U, R, D, R, D, L, U, U, R, D, D, L, U, U, R, D, L, D, R, U, U, L, D, R, D, L, U, U, U, L, L, D, R, U, R, D, L, L, U]",116,793.4839725494385,55100,18208.188
greedy_best_first,wrong_tiles,True,143,"(4, 2, 9, 3, 8, 14, 6, 15, 7, 1, 11, 13, 10, 12, 0, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","[R, U, L, L, L, U, U, R, R, D, D, L, U, R, U, L, D, R, D, D, L, U, R, U, L, D, D, L, U, R, D, R, U, L, L, D, R, R, R, U, L, L, D, R, U, R, U, L, D, R, D, L, U, U, R, D, D, L, U, R, U, L, D, L, U, R, R, D, L, D, R, U, U, L, L, D, R, U, R, D, D, L, U, R, U, L, D, L, U, R, U, L, D, D, R, U, R, D, L, L, U, U, R, D, L, D, R, R, U, L, D, L, U, R, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, D, D, R, U, U, L, D, R, D, L, U, U, L]",143,117.43855476379395,9579,3034.668
greedy_best_first,wrong_tiles,True,167,"(4, 0, 1, 9, 10, 7, 2, 3, 11, 14, 13, 6, 5, 8, 12, 15)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","[R, D, D, L, D, R, U, R, U, L, D, L, L, D, R, U, L, U, U, R, D, D, R, R, U, U, L, L, L, D, D, R, R, U, U, R, D, L, D, R, D, L, U, L, D, R, R, U, U, U, L, D, R, D, L, U, U, R, D, D, L, U, R, U, L, D, D, L, U, L, U, R, R, R, D, D, L, U, L, D, R, U, R, U, L, L, D, R, U, R, D, L, L, U, R, R, D, L, U, L, D, D, R, U, L, U, R, D, D, L, U, R, U, L, D, D, L, U, R, U, L, D, D, R, R, U, R, D, L, U, L, D, R, R, U, L, U, L, D, R, D, L, U, U, R, D, L, D, R, U, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, L]",167,263.2596492767334,19906,7001.412
greedy_best_first,wrong_tiles,True,92,"(4, 6, 7, 5, 9, 10, 3, 11, 8, 14, 12, 15, 2, 1, 13, 0)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","[U, U, L, U, R, D, L, L, L, U, R, D, D, D, R, U, U, U, L, D, D, R, U, U, L, D, R, D, L, U, R, U, L, L, D, R, U, R, D, L, L, D, D, R, U, L, U, R, D, D, L, U, U, U, R, D, R, U, L, L, D, D, D, R, R, U, U, L, L, D, D, R, R, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, L, U, U]",92,150.73871612548828,11643,3573.052
greedy_best_first,wrong_tiles,True,136,"(0, 7, 4, 2, 6, 11, 1, 3, 10, 12, 14, 9, 5, 13, 8, 15)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","[R, R, R, D, L, L, U, L, D, R, D, R, U, R, D, L, L, D, R, U, L, D, L, U, R, U, R, D, L, D, R, U, U, L, D, R, D, L, U, R, U, L, U, R, D, D, L, U, R, U, L, D, D, R, U, R, D, L, U, L, D, R, R, U, L, U, L, L, D, R, U, R, D, L, L, D, R, U, L, U, R, D, D, L, U, R, U, L, D, D, R, R, U, L, D, L, U, R, R, D, L, U, L, D, R, R, D, L, L, U, R, D, R, U, L, L, U, U, R, D, L, D, D, R, U, U, U, L, D, D, R, D, L, U, U, U]",136,224.3673801422119,17670,5695.756
greedy_best_first,wrong_tiles,True,110,"(4, 8, 1, 3, 9, 6, 10, 2, 5, 11, 0, 15, 13, 12, 14, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","[U, L, L, U, R, R, D, L, D, L, D, R, R, R, U, U, L, L, D, R, D, L, U, R, U, U, R, D, D, L, U, R, U, L, D, D, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, U, L, U, R, D, D, L, U, R, U, L, D, R, R, R, D, L, L, U, R, D, R, U, L, D, L, U, R, U, L, D, R, D, L, U, U, R, D, L, D, R, U, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, L]",110,100.02350807189941,7819,2252.036
greedy_best_first,wrong_tiles,True,139,"(4, 3, 2, 0, 6, 12, 1, 14, 9, 11, 15, 7, 5, 10, 8, 13)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","[D, D, L, L, L, U, U, R, D, R, D, D, R, U, L, L, D, R, U, L, U, U, L, D, R, D, L, U, U, R, D, D, D, L, U, R, D, R, U, U, L, D, R, R, D, L, U, L, D, R, R, U, L, D, L, U, L, D, R, R, U, L, D, L, U, R, R, D, L, U, R, R, D, L, U, L, D, R, R, U, L, D, L, U, R, R, U, U, L, D, R, D, L, U, U, R, D, D, D, L, U, R, U, L, D, R, D, L, U, U, R, D, L, D, R, U, U, U, L, L, L, D, R, U, R, R, D, L, L, L, U, R, R, D, R, U, L, L, L]",139,95.85189819335938,7840,2255.508
greedy_best_first,wrong_tiles,True,76,"(1, 5, 0, 2, 10, 13, 6, 3, 4, 8, 9, 11, 14, 15, 7, 12)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","[R, D, L, L, U, L, D, D, R, R, D, R, U, L, U, R, D, L, D, L, U, R, R, D, L, L, L, U, R, D, R, U, L, D, L, U, R, D, R, U, L, L, U, U, R, D, L, D, R, R, U, L, U, L, D, D, R, R, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, L, U]",76,237.07246780395508,17912,5631.212
greedy_best_first,wrong_tiles,True,195,"(1, 0, 5, 2, 9, 11, 7, 3, 6, 8, 15, 4, 10, 12, 13, 14)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","[L, D, D, R, D, R, R, U, U, L, L, D, R, U, U, R, D, D, L, L, U, L, U, R, D, R, R, U, L, L, L, D, R, D, R, U, U, L, L, D, R, U, R, R, D, L, D, L, U, U, L, D, R, U, R, D, R, U, L, L, L, D, D, D, R, U, L, U, R, D, D, L, U, U, R, U, L, D, D, D, R, U, U, L, D, R, D, L, U, U, R, R, U, L, D, L, U, R, R, D, R, D, L, D, R, U, U, L, L, L, D, R, U, R, D, L, L, U, R, R, D, L, U, L, D, R, R, U, L, D, L, U, R, R, D, L, D, R, U, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, U, L, L, D, R, U, R, D, L, D, D, L, U, U, R, D, L, D, R, U, L, U, R, D, L, U, U, R, D, L, D, R, U, U, L, D, R, D, L, U, U]",195,1552.318811416626,105374,36219.516
greedy_best_first,wrong_tiles,True,93,"(1, 2, 5, 7, 10, 3, 11, 15, 4, 14, 6, 0, 9, 12, 8, 13)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","[U, U, L, L, L, D, D, D, R, R, R, U, L, L, D, R, U, R, U, L, L, D, R, R, U, L, D, L, L, U, R, R, D, L, L, U, R, D, R, U, U, R, D, L, U, L, L, D, R, R, D, L, U, U, R, D, L, D, R, U, U, L, L, D, R, U, R, D, L, L, U, R, R, R, D, L, U, L, D, R, U, R, D, L, L, U, R, D, R, U, L, L, L]",93,51.30195617675781,4097,1437.812
greedy_best_first,wrong_tiles,True,171,"(5, 8, 7, 3, 2, 6, 13, 11, 4, 0, 12, 10, 9, 14, 1, 15)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","[R, R, U, L, L, L, D, D, R, U, L, U, U, R, D, L, D, D, R, R, U, U, U, L, D, R, D, D, L, U, L, U, R, U, L, D, D, D, R, R, U, L, D, L, U, R, D, R, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, U, U, L, D, R, D, L, U, R, R, U, L, D, L, U, R, D, R, R, U, L, D, L, U, R, D, R, U, L, L, D, R, U, R, D, L, L, U, R, D, R, U, L, L, D, R, U, L, L, D, R, U, R, D, L, U, L, D, D, R, D, L, U, U, R, U, L, D, R, D, L, D, R, U, L, U, R, U, L, D, D, R, U, U, L, D, D, D, R, U, L, U, R, D, L, D, R, U, U, L, D, R, D, L, U, U, U]",171,453.14693450927734,33622,10969.388
greedy_best_first,wrong_tiles,True,126,"(4, 2, 6, 3, 8, 1, 11, 0, 12, 15, 13, 14, 5, 10, 7, 9)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","[L, U, L, D, D, L, U, R, D, R, D, L, U, R, R, D, L, U, R, U, L, D, L, U, R, R, D, L, L, U, R, R, D, L, U, L, L, D, R, U, L, U, R, D, D, L, U, R, U, L, D, D, D, R, R, R, U, L, D, L, U, U, L, D, R, D, L, U, U, U, R, D, D, L, U, R, U, L, D, R, D, L, D, R, R, R, U, L, D, L, L, U, R, R, R, D, L, L, U, L, D, R, R, R, U, L, L, D, R, U, R, D, L, L, U, L, U, U, R, D, L, D, R, U, U, L]",126,1125.380039215088,77382,27449.044
