algorithm,heuristic,solution found,depth,initial_state,final_state,action_sequence,path_cost,time (ms), nodes, memory (Kb)
uniform_cost,None,True,23,"(2, 5, 3, 6, 4, 0, 8, 1, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, L, D, R, D, L, L, U, R, U, L, D, R, R, D, L, U, R, U, L, D, L, U]",23,4140.11287689209,300747,63032.442
uniform_cost,None,True,25,"(7, 0, 1, 2, 3, 4, 8, 5, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, L, D, R, R, U, L, D, L, U, U, R, R, D, D, L, L, U, R, R, D, L, L, U, U]",25,5008.934259414673,386498,73607.316
uniform_cost,None,True,13,"(6, 0, 2, 7, 3, 1, 4, 8, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, R, D, L, L, U, U, R, D, D, L, U, U]",13,70.94502449035645,7098,1685.996
uniform_cost,None,True,15,"(3, 5, 1, 0, 6, 8, 2, 4, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, D, L, U, R, D, R, U, L, U, R, D, L, L, U]",15,232.91420936584473,21400,5580.156
uniform_cost,None,True,23,"(6, 0, 7, 1, 2, 3, 4, 5, 8)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, D, L, U, L, D, R, D, L, U, U, R, R, D, L, L, U, R, D, D, L, U, U]",23,3902.9760360717773,311161,63703.260
uniform_cost,None,True,17,"(2, 5, 8, 1, 3, 6, 4, 0, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, R, U, L, L, D, R, D, L, U, R, D, R, U, U, L, L]",17,487.0905876159668,42373,11364.676
uniform_cost,None,True,22,"(0, 4, 5, 3, 8, 7, 2, 1, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, D, R, R, U, L, L, U, R, D, L, D, R, R, U, U, L, L, D, R, U, L]",22,2702.075481414795,217104,49708.444
uniform_cost,None,True,26,"(8, 1, 6, 5, 2, 4, 0, 7, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, R, D, R, U, L, D, R, D, L, L, U, R, R, D, L, L, U, R, R, D, L, U, U, L]",26,5754.106044769287,450968,88970.636
uniform_cost,None,True,28,"(8, 7, 6, 3, 0, 4, 1, 2, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, L, U, U, R, R, D, L, D, L, U, U, R, D, D, L, U, U, R, R, D, D, L, L, U, R, U, L]",28,6113.813161849976,480980,89029.428
uniform_cost,None,True,20,"(3, 5, 8, 2, 1, 4, 7, 6, 0)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, L, D, L, U, R, D, D, R, U, U, L, L, D, R, D, L, U, U]",20,1567.23952293396,129262,30891.924
uniform_cost,None,True,27,"(6, 0, 3, 2, 8, 7, 4, 1, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, D, D, L, U, U, L, D, R, U, R, D, D, L, U, U, L, D, D, R, U, R, U, L, D, L, U]",27,5945.838689804077,462553,88935.532
uniform_cost,None,True,24,"(2, 8, 0, 7, 3, 1, 6, 5, 4)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, L, D, R, R, U, L, D, D, R, U, L, D, L, U, U, R, D, L, D, R, U, U, L]",24,4694.956302642822,365120,70325.596
uniform_cost,None,True,19,"(1, 0, 4, 6, 8, 7, 2, 3, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, D, L, U, R, D, R, U, L, U, R, D, L, D, R, U, L, U, L]",19,1281.463384628296,106365,26145.724
uniform_cost,None,True,23,"(2, 6, 3, 4, 1, 0, 5, 8, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, U, L, D, R, U, R, D, L, D, L, U, U, R, R, D, L, D, R, U, L, L, U]",23,3578.805923461914,281059,59957.236
uniform_cost,None,True,22,"(4, 5, 0, 3, 8, 7, 2, 1, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, L, D, L, U, R, D, R, U, L, U, R, D, L, U, L, D, D, R, U, U, L]",22,3180.135726928711,251332,54283.820
uniform_cost,None,True,22,"(7, 1, 4, 2, 0, 8, 6, 5, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, D, R, R, U, L, L, D, R, U, L, U, R, R, D, L, L, D, R, U, U, L]",22,3230.9861183166504,260518,56582.228
uniform_cost,None,True,21,"(2, 7, 8, 3, 6, 5, 4, 0, 1)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, L, D, D, R, U, R, D, L, U, R, U, L, D, D, R, U, L, L, U]",21,2002.3632049560547,162162,37507.132
uniform_cost,None,True,17,"(3, 2, 5, 7, 1, 0, 8, 4, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, L, D, D, R, U, L, D, L, U, R, R, D, L, L, U, U]",17,481.45580291748047,41751,11234.300
uniform_cost,None,True,21,"(5, 3, 8, 6, 2, 4, 1, 0, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, U, U, R, D, D, R, U, U, L, D, L, D, R, R, U, L, D, L, U, U]",21,2218.158483505249,177082,45323.556
uniform_cost,None,True,25,"(1, 6, 8, 3, 7, 4, 2, 0, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, U, R, U, R, D, L, D, R, U, L, U, R, D, L, D, R, U, L, L, D, R, U, U, L]",25,5141.26181602478,407352,75868.020
