algorithm,heuristic,solution found,depth,initial_state,final_state,action_sequence,path_cost,time (ms), nodes, memory (Kb)
a_star,wrong_tiles,True,23,"(2, 5, 3, 6, 4, 0, 8, 1, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, L, D, R, D, L, L, U, R, R, D, L, U, U, L, D, R, R, U, L, D, L, U]",23,559.4584941864014,36991,9657.234
a_star,wrong_tiles,True,25,"(7, 0, 1, 2, 3, 4, 8, 5, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, L, U, R, R, D, D, L, L, U, U, R, D, R, U, L, L, D, R, R, D, L, L, U, U]",25,1152.7299880981445,81346,19808.516
a_star,wrong_tiles,True,13,"(6, 0, 2, 7, 3, 1, 4, 8, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, R, D, L, L, U, U, R, D, D, L, U, U]",13,4.966974258422852,428,85.296
a_star,wrong_tiles,True,15,"(3, 5, 1, 0, 6, 8, 2, 4, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, D, L, U, R, D, R, U, L, U, R, D, L, L, U]",15,12.595415115356445,1088,214.860
a_star,wrong_tiles,True,23,"(6, 0, 7, 1, 2, 3, 4, 5, 8)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, D, L, U, L, D, R, D, L, U, U, R, R, D, L, L, U, R, D, D, L, U, U]",23,528.3076763153076,38088,9643.540
a_star,wrong_tiles,True,17,"(2, 5, 8, 1, 3, 6, 4, 0, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, R, U, L, L, D, D, R, U, L, D, R, R, U, U, L, L]",17,26.695728302001953,2254,444.892
a_star,wrong_tiles,True,22,"(0, 4, 5, 3, 8, 7, 2, 1, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, D, R, R, U, L, U, L, D, D, R, R, U, L, U, L, D, R, R, U, L, L]",22,267.61555671691895,20908,5478.700
a_star,wrong_tiles,True,26,"(8, 1, 6, 5, 2, 4, 0, 7, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, R, D, R, U, L, D, R, D, L, L, U, R, R, D, L, L, U, R, R, D, L, U, U, L]",26,1442.885160446167,101116,25253.428
a_star,wrong_tiles,True,28,"(8, 7, 6, 3, 0, 4, 1, 2, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, U, R, D, D, L, U, U, R, D, D, R, U, U, L, D, R, D, L, L, U, R, R, D, L, L, U, U]",28,3257.5318813323975,220639,50220.780
a_star,wrong_tiles,True,20,"(3, 5, 8, 2, 1, 4, 7, 6, 0)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, L, D, L, U, R, D, D, R, U, U, L, L, D, R, D, L, U, U]",20,116.20020866394043,9080,2167.348
a_star,wrong_tiles,True,27,"(6, 0, 3, 2, 8, 7, 4, 1, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, D, D, L, U, U, L, D, R, U, R, D, D, L, U, U, L, D, D, R, U, R, U, L, D, L, U]",27,2349.3812084198,158718,36541.748
a_star,wrong_tiles,True,24,"(2, 8, 0, 7, 3, 1, 6, 5, 4)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, L, D, R, R, U, L, D, D, R, U, L, D, L, U, U, R, D, L, D, R, U, U, L]",24,731.849193572998,52434,13523.700
a_star,wrong_tiles,True,19,"(1, 0, 4, 6, 8, 7, 2, 3, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, D, L, U, R, D, R, U, L, U, R, D, L, D, R, U, L, U, L]",19,76.78914070129395,6270,1464.044
a_star,wrong_tiles,True,23,"(2, 6, 3, 4, 1, 0, 5, 8, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, U, L, D, R, U, R, D, L, D, L, U, U, R, R, D, L, D, R, U, L, L, U]",23,495.44262886047363,36457,9168.820
a_star,wrong_tiles,True,22,"(4, 5, 0, 3, 8, 7, 2, 1, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, L, D, L, U, R, D, R, U, L, U, R, D, L, U, L, D, D, R, U, U, L]",22,270.9343433380127,20552,5419.092
a_star,wrong_tiles,True,22,"(7, 1, 4, 2, 0, 8, 6, 5, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, D, R, R, U, L, L, D, R, U, L, U, R, R, D, L, L, D, R, U, U, L]",22,373.0142116546631,27842,7130.124
a_star,wrong_tiles,True,21,"(2, 7, 8, 3, 6, 5, 4, 0, 1)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, L, D, D, R, U, R, D, L, U, R, U, L, D, D, R, U, L, L, U]",21,194.17476654052734,15270,3811.092
a_star,wrong_tiles,True,17,"(3, 2, 5, 7, 1, 0, 8, 4, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, L, D, D, R, U, L, D, L, U, R, R, D, L, L, U, U]",17,31.380653381347656,2619,548.124
a_star,wrong_tiles,True,21,"(5, 3, 8, 6, 2, 4, 1, 0, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, U, R, U, L, D, R, R, U, L, L, D, R, D, R, U, U, L, D, L, U]",21,202.02159881591797,15450,3870.676
a_star,wrong_tiles,True,25,"(1, 6, 8, 3, 7, 4, 2, 0, 5)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, U, L, U, L, D, R, D, L, U, U, R, D, D, R, U, U, L, D, D, R, U, U, L, L]",25,1143.3939933776855,80798,19620.676
a_star,wrong_tiles,True,22,"(1, 8, 0, 6, 4, 5, 3, 7, 2)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, D, L, U, U, R, D, L, L, D, R, U, U, L, D, D, R, R, U, L, L, U]",22,305.927038192749,23250,6020.724
a_star,wrong_tiles,True,20,"(6, 3, 5, 2, 7, 1, 0, 8, 4)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, R, R, D, L, L, U, U, R, D, D, L, U, U, R, D, R, U, L, L]",20,108.08777809143066,8738,2064.652
a_star,wrong_tiles,True,21,"(4, 0, 3, 8, 7, 2, 5, 1, 6)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, D, L, L, D, R, R, U, L, L, D, R, R, U, L, U, L, D, R, U, L]",21,178.1942844390869,14227,3578.052
a_star,wrong_tiles,True,23,"(1, 0, 6, 7, 5, 3, 2, 4, 8)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, R, D, L, L, U, R, D, R, U, L, U, R, D, L, U, L, D, R, D, L, U, U]",23,495.48840522766113,35448,9162.572
a_star,wrong_tiles,True,24,"(6, 2, 7, 3, 0, 4, 5, 8, 1)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, U, L, D, D, R, U, L, L, U, R, D, D, L, U, U, R, D, D, R, U, L, L, U]",24,883.108377456665,61396,15461.556
a_star,wrong_tiles,True,29,"(6, 0, 8, 3, 7, 5, 4, 1, 2)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, D, D, R, U, U, R, D, D, L, U, U, R, D, L, U, L, D, D, R, R, U, L, U, L, D, R, U, L]",29,3956.5093517303467,268443,57375.084
a_star,wrong_tiles,True,28,"(2, 6, 0, 5, 7, 1, 8, 4, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[D, L, L, D, R, R, U, L, L, U, R, R, D, L, L, U, R, D, D, L, U, R, D, R, U, U, L, L]",28,3035.806894302368,197116,46090.252
a_star,wrong_tiles,True,27,"(8, 2, 6, 7, 5, 0, 1, 4, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, L, U, R, R, D, L, L, D, R, R, U, L, U, L, D, R, D, L, U, R, D, R, U, U, L, L]",27,2292.677879333496,155124,35813.844
a_star,wrong_tiles,True,27,"(4, 8, 5, 3, 2, 0, 7, 6, 1)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, U, R, D, L, D, R, U, L, D, L, U, R, R, D, L, U, U, L, D, D, R, R, U, L, U, L]",27,2383.9550018310547,160493,36625.740
a_star,wrong_tiles,True,26,"(5, 2, 1, 4, 6, 3, 8, 7, 0)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[L, U, R, U, L, D, R, D, L, L, U, U, R, D, D, R, U, L, L, D, R, R, U, L, L, U]",26,1598.4711647033691,107894,26550.292
a_star,wrong_tiles,True,26,"(3, 1, 6, 2, 4, 5, 0, 8, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, R, D, L, U, U, R, R, D, L, U, L, D, R, D, L, U, U, R, D, D, R, U, U, L, L]",26,1505.929708480835,104587,25716.348
a_star,wrong_tiles,True,26,"(8, 3, 6, 1, 2, 5, 0, 4, 7)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, R, D, L, U, R, R, D, L, U, L, D, R, D, L, U, R, D, R, U, U, L, D, L, U]",26,1489.9470806121826,102930,25541.276
a_star,wrong_tiles,True,26,"(4, 2, 6, 8, 5, 7, 3, 1, 0)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, L, L, U, R, R, D, L, D, L, U, R, U, L, D, R, D, L, U, R, D, R, U, U, L, L]",26,1565.6249523162842,105702,26142.580
a_star,wrong_tiles,True,26,"(4, 8, 6, 7, 2, 5, 0, 1, 3)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[R, R, U, U, L, D, L, D, R, R, U, U, L, D, D, R, U, L, U, L, D, D, R, U, U, L]",26,1522.3300457000732,103463,25803.780
a_star,wrong_tiles,True,24,"(8, 6, 5, 7, 1, 2, 0, 3, 4)","(0, 1, 2, 3, 4, 5, 6, 7, 8)","[U, U, R, D, L, D, R, U, R, D, L, L, U, U, R, D, D, L, U, R, R, U, L, L]",24,729.1913032531738,50831,13182.140
